locus_tag	ftype	length_bp	gene	EC_number	COG	product
target_02116	gene	1092	acrC			
target_02116	CDS	1092	acrC	1.3.1.95		Acryloyl-CoA reductase (NADH)
target_02117	gene	1230				
target_02117	CDS	1230		1.3.99.-		Putative acyl-CoA dehydrogenase FadE17
target_02118	gene	957				
target_02118	CDS	957				Putative enoyl-CoA hydratase EchA13
target_02119	gene	1110				
target_02119	CDS	1110		1.14.14.155		3,6-diketocamphane 1,6-monooxygenase
target_02120	gene	2520	hmp_2			
target_02120	CDS	2520	hmp_2	1.14.12.17		Flavohemoprotein
target_02121	gene	1071	ephB			
target_02121	CDS	1071	ephB	3.3.2.10		Epoxide hydrolase B
target_02122	gene	516				
target_02122	CDS	516		1.5.1.37		Flavin reductase
target_02123	gene	1062	ribBA_2			
target_02123	CDS	1062	ribBA_2		COG0108	Riboflavin biosynthesis protein RibBA
target_02124	gene	771	linC			
target_02124	CDS	771	linC	1.1.1.-	COG1028	2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase
target_02125	gene	330	mazF5			
target_02125	CDS	330	mazF5	3.1.-.-	COG2337	putative endoribonuclease MazF5
target_02126	gene	378	mazE5			
target_02126	CDS	378	mazE5			Antitoxin MazE5
target_02127	gene	486				
target_02127	CDS	486				hypothetical protein
target_02128	gene	105				
target_02128	CDS	105				hypothetical protein
target_02129	gene	219				
target_02129	CDS	219				hypothetical protein
target_02130	gene	402				
target_02130	CDS	402				hypothetical protein
target_02131	gene	351				
target_02131	CDS	351				hypothetical protein
target_02132	gene	903				
target_02132	CDS	903				hypothetical protein
target_02133	gene	192				
target_02133	CDS	192				hypothetical protein
target_02134	gene	297				
target_02134	CDS	297				hypothetical protein
target_02135	gene	216				
target_02135	CDS	216				hypothetical protein
target_02136	gene	312				
target_02136	CDS	312				hypothetical protein
target_02137	gene	177				
target_02137	CDS	177				putative proteinA
target_02138	gene	354	higB1			
target_02138	CDS	354	higB1	3.1.-.-		putative endoribonuclease HigB1
target_02139	gene	450	higA1			
target_02139	CDS	450	higA1		COG1396	Antitoxin HigA1
target_02140	gene	546	secBL			
target_02140	CDS	546	secBL			SecB-like chaperone
target_02141	gene	615				
target_02141	CDS	615				hypothetical protein
target_02142	gene	297	parE1			
target_02142	CDS	297	parE1		COG3668	Toxin ParE1
target_02143	gene	252	parD1			
target_02143	CDS	252	parD1		COG3609	Antitoxin ParD1
target_02144	gene	342				
target_02144	CDS	342				hypothetical protein
target_02145	gene	108				
target_02145	CDS	108				hypothetical protein
target_02146	gene	408				
target_02146	CDS	408		3.1.-.-		Ribonuclease VapC35
target_02147	gene	273				
target_02147	CDS	273				Antitoxin VapB35
target_02148	gene	1221	mce3R			
target_02148	CDS	1221	mce3R			Transcriptional repressor Mce3R
target_02149	gene	258				
target_02149	CDS	258				hypothetical protein
target_02150	gene	798	mlaE			
target_02150	CDS	798	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
target_02151	gene	816				
target_02151	CDS	816				hypothetical protein
target_02152	gene	1278				
target_02152	CDS	1278				hypothetical protein
target_02153	gene	1029				
target_02153	CDS	1029				hypothetical protein
target_02154	gene	1245				
target_02154	CDS	1245				hypothetical protein
target_02155	gene	1272				
target_02155	CDS	1272				hypothetical protein
target_02156	gene	1134	lprN_3			
target_02156	CDS	1134	lprN_3			Lipoprotein LprN
target_02157	gene	1314				
target_02157	CDS	1314				hypothetical protein
target_02158	gene	576				
target_02158	CDS	576				hypothetical protein
target_02159	gene	468				
target_02159	CDS	468				hypothetical protein
target_02160	gene	360				
target_02160	CDS	360				hypothetical protein
target_02161	gene	666				
target_02161	CDS	666				hypothetical protein
target_02162	gene	333				
target_02162	CDS	333				hypothetical protein
target_02163	gene	1047	htpX_2			
target_02163	CDS	1047	htpX_2	3.4.24.-		Protease HtpX
target_02164	gene	849				
target_02164	CDS	849				hypothetical protein
target_02165	gene	1446				
target_02165	CDS	1446			COG0531	putative transporter
target_02166	gene	687				
target_02166	CDS	687				Immunogenic protein MPT64
target_02167	gene	969	nrdF1			
target_02167	CDS	969	nrdF1	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta nrdF1
target_02168	gene	96				
target_02168	CDS	96				hypothetical protein
target_02169	gene	420				
target_02169	CDS	420		3.1.-.-	COG3742	Ribonuclease VapC36
target_02170	gene	288				
target_02170	CDS	288			COG4423	Putative antitoxin VapB36
target_02171	gene	1677				
target_02171	CDS	1677				hypothetical protein
target_02172	gene	426				
target_02172	CDS	426		3.1.1.74		putative cutinase
target_02173	gene	231				
target_02173	CDS	231				hypothetical protein
target_02174	gene	912				
target_02174	CDS	912			COG0583	putative HTH-type transcriptional regulator
target_02175	gene	600	argO_2			
target_02175	CDS	600	argO_2			Arginine exporter protein ArgO
target_02176	gene	243				
target_02176	CDS	243				hypothetical protein
target_02177	gene	453	ermD			
target_02177	CDS	453	ermD	2.1.1.-		rRNA adenine N-6-methyltransferase
target_02178	gene	561				
target_02178	CDS	561			COG5654	putative protein
target_02179	gene	342				
target_02179	CDS	342				putative protein
target_02180	gene	258				
target_02180	CDS	258				hypothetical protein
target_02181	gene	336				
target_02181	CDS	336				hypothetical protein
target_02182	gene	345	mazF6			
target_02182	CDS	345	mazF6	3.1.27.-	COG2337	Endoribonuclease MazF6
target_02183	gene	180	mazE6			
target_02183	CDS	180	mazE6			Antitoxin MazE6
target_02184	gene	2316	ctpG			
target_02184	CDS	2316	ctpG	3.6.3.-	COG2217	putative cation-transporting ATPase G
target_02185	gene	273				
target_02185	CDS	273				putative protein
target_02186	gene	357	cmtR			
target_02186	CDS	357	cmtR		COG0640	HTH-type transcriptional regulator CmtR
target_02187	gene	729				
target_02187	CDS	729				putative protein
target_02188	gene	954				
target_02188	CDS	954			COG0589	Universal stress protein
target_02189	gene	2664	ctpF			
target_02189	CDS	2664	ctpF	3.6.3.-	COG0474	putative cation-transporting ATPase F
target_02190	gene	777				
target_02190	CDS	777			COG2513	putative protein
target_02191	gene	1323				
target_02191	CDS	1323			COG0531	putative transporter
target_02192	gene	1443				
target_02192	CDS	1443				putative protein
target_02193	gene	753				
target_02193	CDS	753			COG3884	putative protein
target_02194	gene	783	fabG3			
target_02194	CDS	783	fabG3	1.1.1.53		3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
target_02195	gene	690				
target_02195	CDS	690			COG0500	putative protein
target_02196	gene	198				
target_02196	CDS	198				putative proteinA
target_02197	gene	1497				
target_02197	CDS	1497			COG0645	putative protein
target_02198	gene	888				
target_02198	CDS	888			COG0589	Universal stress protein
target_02199	gene	3984				
target_02199	CDS	3984		3.2.1.-	COG0637	putative glycosyl hydrolase
target_02200	gene	345	fdxA_2			
target_02200	CDS	345	fdxA_2		COG1146	Ferredoxin
target_02201	gene	141				
target_02201	CDS	141				hypothetical protein
target_02202	gene	1326				
target_02202	CDS	1326			COG1373	putative protein
target_02203	gene	243				
target_02203	CDS	243			COG5450	Antitoxin VapB15
target_02204	gene	399				
target_02204	CDS	399		3.1.-.-		Ribonuclease VapC15
target_02205	gene	432				
target_02205	CDS	432				hypothetical protein
target_02206	gene	435				
target_02206	CDS	435				hypothetical protein
target_02207	gene	621				
target_02207	CDS	621				hypothetical protein
target_02208	gene	591				
target_02208	CDS	591				hypothetical protein
target_02209	gene	1257				
target_02209	CDS	1257				hypothetical protein
target_02210	gene	612				
target_02210	CDS	612				hypothetical protein
target_02211	gene	1041				
target_02211	CDS	1041				hypothetical protein
target_02212	gene	720				
target_02212	CDS	720			COG2442	Putative antitoxin VapB45
target_02213	gene	351				
target_02213	CDS	351		3.1.-.-		Putative ribonuclease VapC45
target_02214	gene	288				
target_02214	CDS	288				hypothetical protein
target_02215	gene	306	higA2_1			
target_02215	CDS	306	higA2_1			Putative antitoxin HigA2
target_02216	gene	417	higB2_1			
target_02216	CDS	417	higB2_1		COG4683	Putative toxin HigB2
target_02217	gene	360				
target_02217	CDS	360				hypothetical protein
target_02218	gene	633				
target_02218	CDS	633				hypothetical protein
target_02219	gene	237				
target_02219	CDS	237				hypothetical protein
target_02220	gene	897				
target_02220	CDS	897				hypothetical protein
target_02221	gene	4821				
target_02221	CDS	4821				hypothetical protein
target_02222	gene	960				
target_02222	CDS	960			COG0053	putative cation efflux system protein
target_02223	gene	885				
target_02223	CDS	885			COG0589	Universal stress protein
target_02224	gene	1722	dosT			
target_02224	CDS	1722	dosT	2.7.13.3	COG2203	Oxygen sensor histidine kinase response regulator DosT
target_02225	gene	840				
target_02225	CDS	840			COG0589	Universal stress protein
target_02226	gene	1020	pfkB			
target_02226	CDS	1020	pfkB	2.7.1.11	COG1105	Putative ATP-dependent 6-phosphofructokinase isozyme 2
target_02227	gene	2040				
target_02227	CDS	2040			COG1926	putative protein
target_02228	gene	435	hspX			
target_02228	CDS	435	hspX		COG0071	Alpha-crystallin
target_02229	gene	996	acg			
target_02229	CDS	996	acg	1.-.-.-		Putative NAD(P)H nitroreductase acg
target_02230	gene	759				
target_02230	CDS	759				hypothetical protein
target_02231	gene	324				
target_02231	CDS	324			COG0640	HTH-type transcriptional regulator
target_02232	gene	489				
target_02232	CDS	489				hypothetical protein
target_02233	gene	642				
target_02233	CDS	642				hypothetical protein
target_02234	gene	975				
target_02234	CDS	975				hypothetical protein
target_02235	gene	1074	msiK_1			
target_02235	CDS	1074	msiK_1	7.5.2.-	COG3839	Diacetylchitobiose uptake system ATP-binding protein MsiK
target_02236	gene	843	araQ_1			
target_02236	CDS	843	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
target_02237	gene	903	lacF			
target_02237	CDS	903	lacF			Lactose transport system permease protein LacF
target_02238	gene	1320				
target_02238	CDS	1320				hypothetical protein
target_02239	gene	798				
target_02239	CDS	798				hypothetical protein
target_02240	gene	561	pncA			
target_02240	CDS	561	pncA	3.5.1.19	COG1335	Nicotinamidase/pyrazinamidase
target_02241	gene	351				
target_02241	CDS	351				hypothetical protein
target_02242	gene	1506	pnbA_3			
target_02242	CDS	1506	pnbA_3	3.1.1.-	COG2272	Para-nitrobenzyl esterase
target_02243	gene	657				
target_02243	CDS	657				hypothetical protein
target_02244	gene	2565				
target_02244	CDS	2565			COG0574	putative protein
target_02245	gene	4713				
target_02245	CDS	4713		2.3.1.41		Phenolphthiocerol synthesis polyketide synthase type I Pks15/1
target_02246	gene	330				
target_02246	CDS	330				hypothetical protein
target_02247	gene	483				
target_02247	CDS	483				hypothetical protein
target_02248	gene	426				
target_02248	CDS	426				hypothetical protein
target_02249	gene	228				
target_02249	CDS	228				hypothetical protein
target_02250	gene	840				
target_02250	CDS	840				hypothetical protein
target_02251	gene	225				
target_02251	CDS	225				hypothetical protein
target_02252	gene	336	rbpA			
target_02252	CDS	336	rbpA			RNA polymerase-binding protein RbpA
target_02253	gene	2790	ppm1_1			
target_02253	CDS	2790	ppm1_1		COG0815	Bifunctional apolipoprotein N-acyltransferase/polyprenol monophosphomannose synthase
target_02254	gene	1605	hutI_2			
target_02254	CDS	1605	hutI_2	3.5.2.7		Imidazolonepropionase
target_02255	gene	498				
target_02255	CDS	498				hypothetical protein
target_02256	gene	714	clcD			
target_02256	CDS	714	clcD	3.1.1.45		Carboxymethylenebutenolidase
target_02257	gene	267	rpsR1_2			
target_02257	CDS	267	rpsR1_2		COG0238	30S ribosomal protein S18 1
target_02258	gene	306	rpsN			
target_02258	CDS	306	rpsN		COG0199	30S ribosomal protein S14
target_02259	gene	165	rpmG2_2			
target_02259	CDS	165	rpmG2_2		COG0267	50S ribosomal protein L33 2
target_02260	gene	636				
target_02260	CDS	636				hypothetical protein
target_02261	gene	402				
target_02261	CDS	402				hypothetical protein
target_02262	gene	405				
target_02262	CDS	405				hypothetical protein
target_02263	gene	3585	cobN			
target_02263	CDS	3585	cobN	6.6.1.2		Aerobic cobaltochelatase subunit CobN
target_02264	gene	153	mazE7			
target_02264	CDS	153	mazE7			Antitoxin MazE7
target_02265	gene	1092				
target_02265	CDS	1092				hypothetical protein
target_02266	gene	627	cobH			
target_02266	CDS	627	cobH	5.4.99.61	COG2082	Precorrin-8X methylmutase
target_02267	gene	1527	cobIJ			
target_02267	CDS	1527	cobIJ		COG1010	Cobalamin biosynthesis protein CobIJ
target_02268	gene	1224				
target_02268	CDS	1224				putative protein
target_02269	gene	924	blaC			
target_02269	CDS	924	blaC	3.5.2.6	COG2367	Beta-lactamase
target_02270	gene	564	sigC			
target_02270	CDS	564	sigC		COG1595	ECF RNA polymerase sigma factor SigC
target_02271	gene	735	cobK			
target_02271	CDS	735	cobK	1.3.1.54	COG2099	Precorrin-6A reductase
target_02272	gene	756	cobM			
target_02272	CDS	756	cobM	2.1.1.133	COG2875	Precorrin-4 C(11)-methyltransferase
target_02273	gene	1173	cobL			
target_02273	CDS	1173	cobL	2.1.1.132	COG2241	Precorrin-6Y C(5,15)-methyltransferase [decarboxylating]
target_02274	gene	750				
target_02274	CDS	750		1.-.-.-	COG1028	putative oxidoreductase
target_02275	gene	408				
target_02275	CDS	408		1.3.98.-		F420H(2)-dependent biliverdin reductase
target_02276	gene	1428				
target_02276	CDS	1428				hypothetical protein
target_02277	gene	165				
target_02277	CDS	165				hypothetical protein
target_02278	gene	972				
target_02278	CDS	972				hypothetical protein
target_02279	gene	315				
target_02279	CDS	315				hypothetical protein
target_02280	gene	1971				
target_02280	CDS	1971				hypothetical protein
target_02281	gene	573	lppJ			
target_02281	CDS	573	lppJ			Putative lipoprotein LppJ
target_02282	gene	444				
target_02282	CDS	444				hypothetical protein
target_02283	gene	306				
target_02283	CDS	306				hypothetical protein
target_02284	gene	189				
target_02284	CDS	189				hypothetical protein
target_02285	gene	1275				
target_02285	CDS	1275				putative protein
target_02286	gene	945				
target_02286	CDS	945				hypothetical protein
target_02287	gene	1143				
target_02287	CDS	1143				putative protein
target_02288	gene	606				
target_02288	CDS	606				hypothetical protein
target_02289	gene	1770	pknJ			
target_02289	CDS	1770	pknJ	2.7.11.1		Serine/threonine-protein kinase PknJ
target_02290	gene	1215	pepE			
target_02290	CDS	1215	pepE	3.4.13.-	COG0006	putative dipeptidase PepE
target_02291	gene	921				
target_02291	CDS	921		3.1.11.-	COG0258	5'-3' exonuclease
target_02292	gene	735				
target_02292	CDS	735				putative protein
target_02293	gene	2721	helY			
target_02293	CDS	2721	helY	3.6.4.-	COG4581	putative helicase HelY
target_02294	gene	855	tatC			
target_02294	CDS	855	tatC		COG0805	Sec-independent protein translocase protein TatC
target_02295	gene	252	tatA			
target_02295	CDS	252	tatA			Sec-independent protein translocase protein TatA
target_02296	gene	951	pafC			
target_02296	CDS	951	pafC		COG2378	Protein PafC
target_02297	gene	999	pafB			
target_02297	CDS	999	pafB		COG2378	Protein PafB
target_02298	gene	1344	pafA			
target_02298	CDS	1344	pafA	6.3.1.19		Pup--protein ligase
target_02299	gene	1476				
target_02299	CDS	1476				hypothetical protein
target_02300	gene	1653				
target_02300	CDS	1653				hypothetical protein
target_02301	gene	3042				
target_02301	CDS	3042				hypothetical protein
target_02302	gene	834				
target_02302	CDS	834			COG4279	putative protein
target_02303	gene	435				
target_02303	CDS	435		3.1.-.-		Ribonuclease VapC37
target_02304	gene	255				
target_02304	CDS	255				hypothetical protein
target_02305	gene	258				
target_02305	CDS	258				hypothetical protein
target_02306	gene	297	lipY_2			
target_02306	CDS	297	lipY_2	3.1.1.3		Triacylglycerol lipase
target_02307	gene	732				
target_02307	CDS	732				putative PPE family protein PPE36
target_02308	gene	711	prcA			
target_02308	CDS	711	prcA	3.4.25.1	COG0638	Proteasome subunit alpha
target_02309	gene	876	prcB			
target_02309	CDS	876	prcB	3.4.25.1	COG0638	Proteasome subunit beta
target_02310	gene	195	pup			
target_02310	CDS	195	pup			Prokaryotic ubiquitin-like protein Pup
target_02311	gene	1608	dop			
target_02311	CDS	1608	dop	3.4.-.-		Pup deamidase/depupylase
target_02312	gene	1194				
target_02312	CDS	1194				hypothetical protein
target_02313	gene	642				
target_02313	CDS	642				hypothetical protein
target_02314	gene	1830	mpa			
target_02314	CDS	1830	mpa		COG0464	Proteasome-associated ATPase
target_02315	gene	570	lppK			
target_02315	CDS	570	lppK			Putative lipoprotein LppK
target_02316	gene	294				
target_02316	CDS	294				hypothetical protein
target_02317	gene	771	trmI			
target_02317	CDS	771	trmI	2.1.1.220	COG2519	tRNA (adenine(58)-N(1))-methyltransferase TrmI
target_02318	gene	837				
target_02318	CDS	837				hypothetical protein
target_02319	gene	483				
target_02319	CDS	483				hypothetical protein
target_02320	gene	855	hisG			
target_02320	CDS	855	hisG	2.4.2.17	COG0040	ATP phosphoribosyltransferase
target_02321	gene	282	hisE			
target_02321	CDS	282	hisE	3.6.1.31	COG0140	Phosphoribosyl-ATP pyrophosphatase
target_02322	gene	1422				
target_02322	CDS	1422				putative PPE family protein PPE37
target_02323	gene	3579	metH			
target_02323	CDS	3579	metH	2.1.1.13	COG0646	Methionine synthase
target_02324	gene	879				
target_02324	CDS	879				hypothetical protein
target_02325	gene	1125				
target_02325	CDS	1125				hypothetical protein
target_02326	gene	1470	ansP1			
target_02326	CDS	1470	ansP1		COG1113	L-asparagine permease 1
target_02327	gene	204				
target_02327	CDS	204				hypothetical protein
target_02328	gene	882	hcaB_4			
target_02328	CDS	882	hcaB_4	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
target_02329	gene	1245	mshC			
target_02329	CDS	1245	mshC	6.3.1.13	COG0215	L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase
target_02330	gene	804	cysQ			
target_02330	CDS	804	cysQ	3.1.3.7	COG1218	3'-phosphoadenosine 5'-phosphate phosphatase
target_02331	gene	246				
target_02331	CDS	246				hypothetical protein
target_02332	gene	159				
target_02332	CDS	159				hypothetical protein
target_02333	gene	837				
target_02333	CDS	837				hypothetical protein
target_02334	gene	588				
target_02334	CDS	588				hypothetical protein
target_02335	gene	711	pspA_1			
target_02335	CDS	711	pspA_1	3.1.3.3	COG0406	Phosphoserine phosphatase 1
target_02336	gene	831	uppP			
target_02336	CDS	831	uppP	3.6.1.27	COG1968	Undecaprenyl-diphosphatase
target_02337	gene	309				
target_02337	CDS	309				hypothetical protein
target_02338	gene	1026				
target_02338	CDS	1026				hypothetical protein
target_02339	gene	282				
target_02339	CDS	282				hypothetical protein
target_02340	gene	1119	pyrD			
target_02340	CDS	1119	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
target_02341	gene	531				
target_02341	CDS	531				hypothetical protein
target_02342	gene	1347	dapE_2			
target_02342	CDS	1347	dapE_2	3.5.1.18		Succinyl-diaminopimelate desuccinylase
target_02343	gene	87				
target_02343	tRNA	87				tRNA-Leu(gag)
target_02344	gene	318	parE2			
target_02344	CDS	318	parE2			Toxin ParE2
target_02345	gene	216	parD2			
target_02345	CDS	216	parD2			Antitoxin ParD2
target_02346	gene	1059	pyrE_2			
target_02346	CDS	1059	pyrE_2	2.4.2.10		Orotate phosphoribosyltransferase
target_02347	gene	357				
target_02347	CDS	357				hypothetical protein
target_02348	gene	783				
target_02348	CDS	783			COG3599	Cell wall synthesis protein Wag31
target_02349	gene	288				
target_02349	CDS	288				hypothetical protein
target_02350	gene	657	sepF			
target_02350	CDS	657	sepF		COG1799	Cell division protein SepF
target_02351	gene	777				
target_02351	CDS	777			COG0325	Pyridoxal phosphate homeostasis protein
target_02352	gene	804				
target_02352	CDS	804		1.10.3.-	COG1496	Polyphenol oxidase
target_02353	gene	1140	ftsZ			
target_02353	CDS	1140	ftsZ		COG0206	Cell division protein FtsZ
target_02354	gene	945	ftsQ			
target_02354	CDS	945	ftsQ		COG1589	Cell division protein FtsQ
target_02355	gene	1485	murC			
target_02355	CDS	1485	murC	6.3.2.8	COG0773	UDP-N-acetylmuramate--L-alanine ligase
target_02356	gene	1233	murG			
target_02356	CDS	1233	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
target_02357	gene	1575	ftsW			
target_02357	CDS	1575	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
target_02358	gene	1470	murD			
target_02358	CDS	1470	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
target_02359	gene	1080	mraY			
target_02359	CDS	1080	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
target_02360	gene	1533	murF			
target_02360	CDS	1533	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
target_02361	gene	1554	murE			
target_02361	CDS	1554	murE	6.3.2.13	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
target_02362	gene	1035				
target_02362	CDS	1035				hypothetical protein
target_02363	gene	342				
target_02363	CDS	342				hypothetical protein
target_02364	gene	852				
target_02364	CDS	852			COG2141	putative protein
target_02365	gene	1590				
target_02365	CDS	1590				hypothetical protein
target_02366	gene	1821	pbpB			
target_02366	CDS	1821	pbpB		COG0768	Penicillin-binding protein PbpB
target_02367	gene	1155				
target_02367	CDS	1155				hypothetical protein
target_02368	gene	1035	rsmH			
target_02368	CDS	1035	rsmH	2.1.1.199	COG0275	Ribosomal RNA small subunit methyltransferase H
target_02369	gene	432	mraZ			
target_02369	CDS	432	mraZ		COG2001	Transcriptional regulator MraZ
target_02370	gene	405				
target_02370	CDS	405				hypothetical protein
target_02371	gene	621				
target_02371	CDS	621				hypothetical protein
target_02372	gene	684	lppM			
target_02372	CDS	684	lppM			Protein LppM
target_02373	gene	906				
target_02373	CDS	906				hypothetical protein
target_02374	gene	993	sdsA			
target_02374	CDS	993	sdsA	2.5.1.84		All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)
target_02375	gene	1551	mptA			
target_02375	CDS	1551	mptA	2.4.1.-		Alpha-(1->6)-mannopyranosyltransferase A
target_02376	gene	441				
target_02376	CDS	441				DNA-binding protein
target_02377	gene	1173	pknL			
target_02377	CDS	1173	pknL	2.7.11.1	COG0515	Serine/threonine-protein kinase PknL
target_02378	gene	666				
target_02378	CDS	666				IS110 family transposase ISArsp3
target_02379	gene	1389	aroG			
target_02379	CDS	1389	aroG	2.5.1.54	COG3200	Phospho-2-dehydro-3-deoxyheptonate aldolase AroG
target_02380	gene	507				
target_02380	CDS	507		3.1.13.-		3'-5' exoribonuclease
target_02381	gene	939				
target_02381	CDS	939				hypothetical protein
target_02382	gene	1284				
target_02382	CDS	1284		2.4.1.-		Polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol mannoside mannosyltransferase
target_02383	gene	744				
target_02383	CDS	744				hypothetical protein
target_02384	gene	396				
target_02384	CDS	396				hypothetical protein
target_02385	gene	1137				
target_02385	CDS	1137				hypothetical protein
target_02386	gene	435				
target_02386	CDS	435				hypothetical protein
target_02387	gene	390				
target_02387	CDS	390				hypothetical protein
target_02388	gene	1803				
target_02388	CDS	1803		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
target_02389	gene	1158	pimB			
target_02389	CDS	1158	pimB	2.4.1.346	COG0438	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase
target_02390	gene	744				
target_02390	CDS	744				hypothetical protein
target_02391	gene	1182				
target_02391	CDS	1182				hypothetical protein
target_02392	gene	279				
target_02392	CDS	279				hypothetical protein
target_02393	gene	1944				
target_02393	CDS	1944		3.1.-.-	COG0322	Putative bifunctional exonuclease/endonuclease protein
target_02394	gene	1044	trpD			
target_02394	CDS	1044	trpD	2.4.2.18	COG0547	Anthranilate phosphoribosyltransferase
target_02395	gene	543	ctaE			
target_02395	CDS	543	ctaE	1.9.3.1	COG1845	putative cytochrome c oxidase subunit 3
target_02396	gene	843	qcrC			
target_02396	CDS	843	qcrC	7.1.1.8	COG2010	Cytochrome bc1 complex cytochrome c subunit
target_02397	gene	1290	qcrA			
target_02397	CDS	1290	qcrA		COG0723	Cytochrome bc1 complex Rieske iron-sulfur subunit
target_02398	gene	1650	qcrB			
target_02398	CDS	1650	qcrB	7.1.1.8	COG1290	Cytochrome bc1 complex cytochrome b subunit
target_02399	gene	645				
target_02399	CDS	645				putative protein
target_02400	gene	900	mmpS3_1			
target_02400	CDS	900	mmpS3_1			putative transport accessory protein MmpS3
target_02401	gene	420	ctaF			
target_02401	CDS	420	ctaF	1.9.3.1		Cytochrome c oxidase polypeptide 4
target_02402	gene	987	ctaC			
target_02402	CDS	987	ctaC	1.9.3.1	COG1622	Cytochrome c oxidase subunit 2
target_02403	gene	1959	asnB			
target_02403	CDS	1959	asnB	6.3.5.4	COG0367	Putative asparagine synthetase [glutamine-hydrolyzing]
target_02404	gene	975	adoK			
target_02404	CDS	975	adoK	2.7.1.20	COG0524	Adenosine kinase
target_02405	gene	693				
target_02405	CDS	693				putative protein
target_02406	gene	357				
target_02406	CDS	357				Protein
target_02407	gene	1146				
target_02407	CDS	1146			COG1929	putative protein
target_02408	gene	495				
target_02408	CDS	495				putative protein
target_02409	gene	93				
target_02409	CDS	93				hypothetical protein
target_02410	gene	1086	cobT			
target_02410	CDS	1086	cobT	2.4.2.21	COG2038	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
target_02411	gene	747	cobS			
target_02411	CDS	747	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
target_02412	gene	1539				
target_02412	CDS	1539				hypothetical protein
target_02413	gene	1107	ilvE			
target_02413	CDS	1107	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
target_02414	gene	1104	gcvT			
target_02414	CDS	1104	gcvT	2.1.2.10	COG0404	Aminomethyltransferase
target_02415	gene	1167				
target_02415	CDS	1167				putative protein
target_02416	gene	1548	pepA			
target_02416	CDS	1548	pepA	3.4.11.1	COG0260	putative cytosol aminopeptidase
target_02417	gene	1776	ephD_2			
target_02417	CDS	1776	ephD_2	1.-.-.-	COG1028	putative oxidoreductase EphD
target_02418	gene	1662	dlaT			
target_02418	CDS	1662	dlaT	2.3.1.12	COG0508	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
target_02419	gene	906				
target_02419	CDS	906			COG1090	Epimerase family protein
target_02420	gene	693	lipB			
target_02420	CDS	693	lipB	2.3.1.181	COG0321	Octanoyltransferase
target_02421	gene	936	lipA			
target_02421	CDS	936	lipA	2.8.1.8	COG0320	Lipoyl synthase
target_02422	gene	753				
target_02422	CDS	753				putative protein
target_02423	gene	423				
target_02423	CDS	423				hypothetical protein
target_02424	gene	1437	glnA1			
target_02424	CDS	1437	glnA1	6.3.1.2	COG0174	Glutamine synthetase
target_02425	gene	2985	glnE			
target_02425	CDS	2985	glnE		COG1391	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
target_02426	gene	1341	glnA2			
target_02426	CDS	1341	glnA2	6.3.1.2	COG0174	Glutamine synthetase
target_02427	gene	1554	caeB_1			
target_02427	CDS	1554	caeB_1	3.1.1.-		Carboxylesterase B
target_02428	gene	1557	caeA			
target_02428	CDS	1557	caeA	3.1.1.-		Carboxylesterase A
target_02429	gene	846	panB			
target_02429	CDS	846	panB	2.1.2.11	COG0413	3-methyl-2-oxobutanoate hydroxymethyltransferase
target_02430	gene	1542				
target_02430	CDS	1542				putative protein
target_02431	gene	228				
target_02431	CDS	228				hypothetical protein
target_02432	gene	486				
target_02432	CDS	486				hypothetical protein
target_02433	gene	1095				
target_02433	CDS	1095			COG0328	Bifunctional protein
target_02434	gene	738				
target_02434	CDS	738			COG1579	putative protein
target_02435	gene	1140				
target_02435	CDS	1140			COG0327	GTP cyclohydrolase 1 type 2 
target_02436	gene	1095				
